date,item,en,category,price,unit,source,provider,as_of
2026-08-17,吡虫啉,Imidacloprid,农药,75000,元/吨,reference,,2026-08-01
2026-08-17,复合肥,NPK,化肥,2700,元/吨,reference,,2026-08-01
2026-08-17,多菌灵,Carbendazim,农药,35000,元/吨,reference,,2026-08-01
2026-08-17,尿素,Urea,化肥,1687.0,元/吨,live,新浪期货 UR0,
2026-08-17,氯化钾,KCl,化肥,2500,元/吨,reference,,2026-08-01
2026-08-17,硫酸钾,SOP,化肥,3200,元/吨,reference,,2026-08-01
2026-08-17,磷酸一铵,MAP,化肥,3300,元/吨,reference,,2026-08-01
2026-08-17,磷酸二铵,DAP,化肥,3700,元/吨,reference,,2026-08-01
2026-08-17,草甘膦,Glyphosate,农药,26000,元/吨,reference,,2026-08-01
2026-08-17,阿维菌素,Abamectin,农药,480000,元/吨,reference,,2026-08-01
